# N种方法说感谢
Reversed ||| Thanks for helping me with my homework. ||| 感谢你帮我做作业。
Reversed ||| No harm done. ||| 没什么。
Reversed ||| That's not a big deal. ||| 这没什么大不了的。
Reversed ||| Please don't blame yourself. ||| 别责怪自己了。
Reversed ||| It's really not necessary. ||| 实在没有必要道歉。
Reversed ||| It could have happened to anyone. ||| 这种情况大家都可能碰到。 ||| 例句：A 500 server error could have happened to anyone's code.
Reversed ||| Don't mention it. It's not your fault. ||| 没关系，这不是你的错。
Reversed ||| Forget about it. ||| 别放心上了。
Reversed ||| Never mind. ||| 没关系。
Reversed ||| Forget it. ||| 不必在意。
Reversed ||| That's OK. ||| 不要紧。
Reversed ||| I forgive you. ||| 我原谅你。
Reversed ||| It doesn't matter. ||| 没关系。
Reversed ||| Don't apologize. ||| 不必道歉。
Reversed ||| Don't worry about it. ||| 别放在心上。

# 敢问路在何方
Reversed ||| Can you give me directions to the nearest bus stop? ||| 你能告诉我最近的公交站怎么走吗？
Reversed ||| Could you tell me how to get to the bank? ||| 你能告诉我银行怎么走吗？
Reversed ||| Could you tell me where the Science Museum is, please? ||| 您能告诉我科学博物馆在哪儿吗？
Reversed ||| How can I get to the airport from here, please? ||| 请问从这里怎么去机场？
Reversed ||| What's the best way to get to the hospital? ||| 去医院哪条路最近？
Reversed ||| I'd like to know where the bus station is, please. ||| 我想问下公交站在哪。
Reversed ||| How do I get to the Central Park, please? ||| 请问中央公园怎么走？
Reversed ||| Would you mind giving me some directions? ||| 你介意给我指下方向吗？
Reversed ||| Where is the nearest subway entrance, please? ||| 请问最近的地铁入口在哪？
Reversed ||| How long will it take to get there? ||| 去那儿要多久？
Reversed ||| How far is it? ||| 多远呢？
Reversed ||| Is it far from here? ||| 它离这里远吗？
Reversed ||| How to get to the bank? ||| 怎么去银行？
Reversed ||| Does this bus go to the park? ||| 这趟公交去公园吗？
Reversed ||| Could you show me the way? ||| 你能告诉我怎么去吗？
Reversed ||| I'm looking for this address. ||| 我在找这个地方。
Reversed ||| Where is the bathroom, please? ||| 请问洗手间在哪里？

# 旅行，在路上
Reversed ||| I went on a journey with my backpack a week ago. ||| 一个星期以前，我踏上了一段背包之旅。
Reversed ||| I hate being bothered by phone calls during a trip. ||| 我讨厌在旅途中被电话打扰。
Reversed ||| I enjoy being alone on the road. ||| 我喜欢一个人在旅途。
Reversed ||| Traveling to different places is always fascinating to me. ||| 去不同的地方旅行对我来说总是很有吸引力。
Reversed ||| You can experience various lifestyles. ||| 你可以体验各种不同的生活方式。
Reversed ||| You'll meet all kinds of interesting people. ||| 你会遇到各式各样有趣的人。
Reversed ||| I really enjoy the seafood, clean air and bright sunshine. ||| 我真的很喜欢海鲜、洁净的空气以及明媚的阳光。
Reversed ||| Traveling is a good way to relax. ||| 旅行是一种很好的放松方式。
Reversed ||| Do you like traveling? ||| 你喜欢旅游吗？
Reversed ||| I enjoy traveling very much. ||| 我非常热爱旅游。
Reversed ||| How was your trip? ||| 你的旅程怎么样？
Reversed ||| We had a really nice trip. ||| 我们的旅程非常愉快。
Reversed ||| A short trip is relaxing. ||| 短途旅行能让人放松。
Reversed ||| He traveled to China last year. ||| 去年他去了中国旅游。
Reversed ||| I want to travel around the world. ||| 我想环游世界。

# 现在几点了？
Reversed ||| Could you tell me the time, please? ||| 您能告诉我现在几点吗？
Reversed ||| What's the time by your watch? ||| 你的手表现在是几点了？
Reversed ||| What time do you have? ||| 你的表几点了？
Reversed ||| Have you got the right time? ||| 你知道准确的时间吗？
Reversed ||| It's ten minutes past three by my watch. ||| 我的手表是三点十分。
Reversed ||| My watch says twelve noon. ||| 我的手表显示中午十二点。
Reversed ||| It's twenty minutes to eleven. ||| 十点四十
Reversed ||| It's a quarter past nine. ||| 九点一刻。
Reversed ||| It's exactly two o'clock. ||| 两点整。
Reversed ||| It's half past eight. ||| 八点半。
Reversed ||| What time is it? ||| 几点了？
Reversed ||| What's the time, please? ||| 请问现在几点了？
Reversed ||| Do you have the time? ||| 你知道现在几点吗？
Reversed ||| It's ten. ||| 十点。
Reversed ||| It's six a.m. ||| 早上六点。
Reversed ||| It's 9:15 p.m. ||| 晚上九点十五分。
Reversed ||| It's five o'clock in the morning. ||| 早上五点。

# 生命在于运动
Reversed ||| Do you play any sports in your spare time? ||| 你在业余时间运动吗？
Reversed ||| What kind of exercise do you like doing? ||| 你喜欢做什么样的运动？
Reversed ||| Where do you do aerobics? ||| 你在哪里做有氧运动呢？
Reversed ||| How often do you work out in a week? ||| 你一周运动几次？
Reversed ||| I like jogging after work to relax. ||| 我下班后喜欢慢跑来放松。
Reversed ||| We should start doing more outdoor activities. ||| 我们应该开始做更多户外运动。
Reversed ||| I go to the gym four times a week. ||| 我一周去四次健身房。
Reversed ||| I like lifting weights to get ripped. ||| 我喜欢举重来练肌肉。
Reversed ||| I usually do my running on the treadmill. ||| 我经常在跑步机上跑步。
Reversed ||| Do you like sports? ||| 你喜欢运动吗？
Reversed ||| I like sports very much. ||| 我非常热爱运动。
Reversed ||| Do you play soccer? ||| 你踢足球吗？
Reversed ||| Can you play tennis? ||| 你会打网球吗？
Reversed ||| I want to play ping-pong. ||| 我想打乒乓球。
Reversed ||| Let's go swimming. ||| 我们去游泳吧。
Reversed ||| Sports are good for health. ||| 运动有益于健康。

# 生日快乐！
Reversed ||| How do you like to celebrate your birthday? ||| 你喜欢怎么过生日？
Reversed ||| Shall we have a surprise birthday party? ||| 我们要不要办个惊喜生日派对？
Reversed ||| Who are you going to invite to your birthday party? ||| 你打算邀请谁参加你的生日派对？
Reversed ||| What's the best birthday gift you have ever received? ||| 你收到的最棒的生日礼物是什么？
Reversed ||| I'll have my birthday party on Saturday so more people can come. ||| 我会在周六举办生日派对，这样就能有更多的人来。
Reversed ||| I'd like a bicycle as a gift for my birthday. ||| 我想要一辆自行车作为生日礼物。
Reversed ||| We should get a cake for the birthday party. ||| 我们应该给生日派对准备一个蛋糕。
Reversed ||| I'd just invite family since it's a small birthday party. ||| 由于只是个小型生日派对，所以我打算只邀请家人。
Reversed ||| When is your birthday? ||| 你生日是什么时候？
Reversed ||| Happy birthday to you! ||| 祝你生日快乐！
Reversed ||| Have fun at the birthday party. ||| 生日派对要玩得尽兴。
Reversed ||| This book is your birthday gift. ||| 这本书是你的生日礼物。
Reversed ||| My birthday is in December. ||| 我的生日在十二月份。
Reversed ||| The birthday cake is for you. ||| 这个生日蛋糕是给你的。

# 电话响了
Reversed ||| Hang on a second. I'll be right back. ||| 稍等片刻。我马上回来。
Reversed ||| Please hold on and I'll put you through. ||| 请不要挂断，我帮您转接过去。
Reversed ||| I'm afraid she's not in. ||| 恐怕她不在。
Reversed ||| I'm afraid she's just stepped out. ||| 恐怕她刚出去了。
Reversed ||| Sorry, but he can't come to the phone at the moment. ||| 不好意思，他现在没办法接电话。
Reversed ||| Would you like to leave a message? ||| 您想留个言吗？
Reversed ||| Can I take a message for you? ||| 我能帮您转告吗？
Reversed ||| Please tell her to call me back. ||| 请转告她回我个电话。
Reversed ||| I'm afraid you've dialed the wrong number. ||| 恐怕您拨错号码了。
Reversed ||| There is no one here by that name. ||| 这儿没有叫那个名字的。
Reversed ||| Who's that calling, please? ||| 请问哪位？
Reversed ||| Hello, this is Mary speaking. ||| 你好，我是玛丽。
Reversed ||| May I speak to Mr White? ||| 我可以和怀特先生讲话吗？
Reversed ||| Is Mr Green out there? ||| 格林先生在吗？
Reversed ||| Hold on, please. ||| 请稍等。
Reversed ||| Wait a minute, please. ||| 请等一下。
Reversed ||| Just one second, please. ||| 请稍等一会儿。
Reversed ||| I'll call you back. ||| 我会给你回电话的。

# 相亲相爱一家人
Reversed ||| How many people are there in your family? ||| 你家里有几口人？
Reversed ||| Do you have any brothers or sisters? ||| 你有兄弟姐妹吗？
Reversed ||| Do you get along with your parents? ||| 你和父母相处融洽吗？
Reversed ||| My elder brother got married last month. ||| 我哥哥上个月结婚了。
Reversed ||| My family always eat together and chat. ||| 我们一家经常一起吃饭聊天。
Reversed ||| My family usually goes on picnics during the weekends. ||| 我们家周末经常去野餐。
Reversed ||| My mother stays at home and does the chores. ||| 我妈待在家里做家务。
Reversed ||| I like helping my mother cooking. ||| 我喜欢帮老妈做饭。
Reversed ||| My father prepares breakfast for us everyday. ||| 老爸每天给我们准备早餐。
Reversed ||| I have a sister. ||| 我有个姐姐（妹妹）。
Reversed ||| We are family. ||| 我们是一家人。
Reversed ||| We all like Aunt Lucy. ||| 我们都喜欢露西婶婶。
Reversed ||| My uncle Jone is really funny. ||| 我的叔叔乔恩非常有趣。
Reversed ||| My father cooks for the family. ||| 我爸爸为家人做饭。
Reversed ||| We have a big family dinner. ||| 我们吃一顿丰盛的家庭晚餐。
Reversed ||| We visit our grandparents every weekend. ||| 我们每周末都去看望祖父母。

# 道歉不只是sorry
Reversed ||| I'm awfully sorry for being late. ||| 我迟到了，实在太抱歉了。
Reversed ||| I owe you an apology. ||| 我欠你个道歉。
Reversed ||| It's me to blame. ||| 是我的错。
Reversed ||| I do apologize for my rudeness. ||| 我为我的无礼道歉。
Reversed ||| Please forgive me for my ignorance. ||| 请原谅我的疏忽。
Reversed ||| I beg your pardon for forgetting your birthday. ||| 我忘记了你的生日，请你原谅我。
Reversed ||| I'm ashamed of my behavior. ||| 我为我的行为感到羞愧。
Reversed ||| You have my sincere apology. ||| 我向你致以诚挚的歉意。
Reversed ||| I can't tell you how sorry I am. ||| 我无法形容我有多抱歉。
Reversed ||| I'm sorry. ||| 对不起。
Reversed ||| I apologize. ||| 我道歉。
Reversed ||| My apologies. ||| 我很抱歉
Reversed ||| It's all my fault. ||| 都是我的错
Reversed ||| I didn't mean it. ||| 我不是故意的。
Reversed ||| I hope you will excuse me. ||| 我希望你能原谅我。
Reversed ||| Please forgive me. ||| 请原谅我。
Reversed ||| Please accept my apology. ||| 请接受我的道歉。

# 阴天晴天下雨天
Reversed ||| The weather is terrible today. ||| 今天天气很糟糕。
Reversed ||| It looks as if it is going to rain. ||| 看起来似乎要下雨了。
Reversed ||| I got caught in the rain yesterday. ||| 我昨天淋雨了。 ||| 例句：Make sure your laptop doesn't get caught in the rain.
Reversed ||| I was wet to the skin. ||| 我全身都湿透了。
Reversed ||| I was chilled to the bone. ||| 这天真是冷到骨子里了。
Reversed ||| I hope it snows on Monday. ||| 希望星期一会下雪。
Reversed ||| The heat is killing me! ||| 我要热死了！
Reversed ||| It's been snowing for three days straight. ||| 已经连下三天的雪了。
Reversed ||| The weather is unpredictable in Nanjing. ||| 南京天气变化莫测。 ||| 例句：Network traffic is as unpredictable as the weather.
Reversed ||| Do you know what the weather will be like tomorrow? ||| 你知道明天天气怎么样吗？
Reversed ||| The weather forecast says tomorrow will be a cloudy day. ||| 天气预报说明天是阴天。
Reversed ||| It's a lovely day. ||| 天气真好。
Reversed ||| It's getting cold. ||| 天变冷了。
Reversed ||| Nice weather, isn't it? ||| 天气不错，是吧？
Reversed ||| Is it hot outside today? ||| 今天外面热吗？
Reversed ||| How's the weather? ||| 天气怎么样？
Reversed ||| What's the weather like today? ||| 今天天气怎么样？
Reversed ||| What's the temperature? ||| 气温是多少？
