Basic ||| 你通常几点起床？ ||| What time do you usually get up?
Basic ||| 是的，我喜欢尝试新食谱做饭。 ||| Yes, I enjoy cooking new recipes.
Basic ||| 你通常几点吃晚饭？ ||| What time do you usually have dinner?
Basic ||| 我通常在晚上7点30分左右吃晚饭。 ||| I usually have dinner around 7:30 p.m.
Basic ||| 你晚饭通常吃什么？ ||| What do you usually have for dinner?
Basic ||| 我通常吃一顿清淡的晚餐，比如沙拉或汤。 ||| I usually have a light dinner like salad or soup.
Basic ||| 你喜欢在外面吃饭吗？ ||| Do you like to eat out?
Basic ||| 是的，我喜欢尝试新的餐厅。 ||| Yes, I enjoy trying new restaurants.
Basic ||| 你晚上看电视吗？ ||| Do you watch TV in the evening?
Basic ||| 是的，我看大约一小时电视。 ||| Yes, I watch TV for about an hour.
Basic ||| 你辅导孩子做作业吗？ ||| Do you help your kids with homework?
Basic ||| 是的，我每天晚上都辅导他们做作业。 ||| Yes, I help them with their homework every evening.
Basic ||| 你晚上如何放松？ ||| How do you unwind in the evening?
Basic ||| 我喜欢做一些轻度的拉伸或瑜伽。 ||| I like to do some light stretching or yoga.
Basic ||| 漫长的一天后你如何放松？ ||| How do you relax after a long day?
Basic ||| 我通过阅读或听音乐来放松。 ||| I relax by reading or listening to music.
Basic ||| 你睡前阅读吗？ ||| Do you read before going to bed?
Basic ||| 是的，我喜欢在睡前看书。 ||| Yes, I like to read a book before sleeping.
Basic ||| 你几点上床睡觉？ ||| What time do you go to bed?
Basic ||| 我晚上10点左右上床睡觉。 ||| I go to bed around 10 p.m.
Basic ||| 你冥想吗？ ||| Do you meditate?
Basic ||| 是的，我定期冥想。 ||| Yes, I meditate regularly.
Basic ||| 你睡前如何放松？ ||| How do you relax before going to bed?
Basic ||| 我听舒缓的音乐。 ||| I listen to calm music.
Basic ||| 你会定早上的闹钟吗？ ||| Do you set an alarm for the morning?
Basic ||| 是的，我定了一个早上6点30分的闹钟。 ||| Yes, I set an alarm for 6:30 a.m.
Basic ||| 你睡多少个小时？ ||| How many hours of sleep do you get?
Basic ||| 我睡大约7个小时。 ||| I get about 7 hours of sleep.
Basic ||| 如果你睡不着会怎么做？ ||| What do you do if you can't sleep?
Basic ||| 如果我睡不着，有时我会吃安眠药。 ||| If I can't sleep I sometimes take a sleeping pill.
Basic ||| 你喜欢淋浴还是泡澡？ ||| Do you prefer showers or baths?
Basic ||| 我喜欢淋浴。 ||| I prefer showers.
Basic ||| 你多久洗一次衣服？ ||| How often do you do laundry?
Basic ||| 我一周洗两次衣服。 ||| I do laundry twice a week.
Basic ||| 你自己做饭吗？ ||| Do you cook your own meals?
Basic ||| 是的，我喜欢自己做饭。 ||| Yes, I enjoy cooking my own meals.
Basic ||| 你每天都打扫房子吗？ ||| Do you clean your house every day?
Basic ||| 不，我一周打扫一次房子。 ||| No, I clean my house once a week.
Basic ||| 你多久去一次杂货店购物？ ||| How often do you go grocery shopping?
Basic ||| 我每周去一次杂货店购物。 ||| I go grocery shopping once a week.
Basic ||| 你多久换一次床单？ ||| How often do you change your bed sheets?
Basic ||| 我每周换一次床单。 ||| I change my bed sheets once a week.
Basic ||| 你熨衣服吗？ ||| Do you iron your clothes?
Basic ||| 是的，我穿衣服前会熨一下。 ||| Yes, I iron my clothes before wearing them.
Basic ||| 你多久用吸尘器打扫一次房子？ ||| How often do you vacuum your house?
Basic ||| 我每周用吸尘器打扫两次房子。 ||| I vacuum my house twice a week.
Basic ||| 你回收垃圾吗？ ||| Do you recycle?
Basic ||| 是的，我总是把可回收物分开。 ||| Yes, I always separate my recyclables.
Basic ||| 你如何度过周末？ ||| How do you spend your weekends?
Basic ||| 我周末去徒步或拜访朋友。 ||| I spend my weekends hiking or visiting friends.
Basic ||| 你每天都去散步吗？ ||| Do you go for a walk every day?
Basic ||| 是的，我晚上去散步。 ||| Yes, I go for a walk in the evening.
Basic ||| 你有宠物吗？ ||| Do you have any pets?
Basic ||| 是的，我养了一只狗。 ||| Yes, I have a dog.
Basic ||| 你带你的狗去散步吗？ ||| Do you take your dog for a walk?
Basic ||| 是的，我每天带我的狗散步两次。 ||| Yes, I take my dog for a walk twice a day.
Basic ||| 你多久看望一次家人？ ||| How often do you visit your family?
Basic ||| 我每个周末都去看望家人。 ||| I visit my family every weekend.
Basic ||| 你喜欢园艺吗？ ||| Do you like gardening?
Basic ||| 是的，我喜欢在周末做园艺。 ||| Yes, I enjoy gardening on weekends.
Basic ||| 你有爱好吗？ ||| Do you have a hobby?
Basic ||| 是的，我喜欢画画。 ||| Yes, I like painting.
Basic ||| 你家里有植物吗？ ||| Do you have any plants at home?
Basic ||| 是的，我有几盆室内植物。 ||| Yes, I have several house plants.
Basic ||| 你多久给植物浇一次水？ ||| How often do you water your plants?
Basic ||| 我每隔一天给植物浇一次水。 ||| I water my plants every other day.
Basic ||| 你使用公共交通工具吗？ ||| Do you use public transportation?
Basic ||| 不经常，我通常开车。 ||| Not often, I usually drive.
Basic ||| 你多久和朋友见一次面？ ||| How often do you meet with friends?
Basic ||| 一个月几次。 ||| Several times a month.
Basic ||| 你使用社交媒体吗？ ||| Do you use social media?
Basic ||| 是的，我每天查看我的社交媒体。 ||| Yes, I check my social media daily.
Basic ||| 你通常如何度过假期？ ||| How do you usually spend your holidays?
Basic ||| 我和家人朋友一起度过假期。 ||| I spend my holidays with family and friends.
Basic ||| 你多久旅行一次？ ||| How often do you travel?
Basic ||| 我尽量每年旅行两次。 ||| I try to travel twice a year.
